Date,Sales,TV Spends,Radio Spends,Search Spends,Display Spends,Video Spends,Spotify Spends,Add to Cart,Checkout,Landing Page
2018-01-31,784,3076,669,2699,1007,1346,2300,46,52,57
2018-02-28,659,1802,1972,2704,1898,2497,4998,47,44,43
2018-03-31,729,3176,1619,2152,1872,1421,1970,49,42,43
2018-04-30,292,3176,1721,1407,1649,3588,2808,55,59,55
2018-05-31,935,2956,756,2234,2265,1709,4848,50,43,58
2018-06-30,863,4125,1816,2072,2303,3762,4896,60,51,48
2018-07-31,807,2925,1316,980,1247,3317,3058,60,49,54
2018-08-31,459,4622,887,1549,1507,2581,2751,54,49,50
2018-09-30,109,4560,1473,2987,2117,2108,4438,49,51,63
2018-10-31,823,1756,868,1820,773,1756,2095,53,53,65
2018-11-30,377,1273,1417,2445,997,2085,2147,65,51,61
2018-12-31,854,3383,701,1643,1619,2546,2073,56,51,62
2019-01-31,904,1388,883,2352,1430,3339,4201,52,58,52
2019-02-28,699,2641,870,1725,1576,1623,3041,67,52,54
2019-03-31,170,4114,1055,2997,2495,3958,1756,70,56,61
2019-04-30,572,2466,1454,1934,1477,2167,4708,65,52,64
2019-05-31,700,3591,1907,825,2118,1474,4779,57,66,68
2019-06-30,496,1888,523,2288,2263,2060,4011,58,73,56
2019-07-31,414,1257,630,1756,1129,3291,2663,67,64,74
2019-08-31,805,2345,877,2713,899,2307,2528,73,61,62
2019-09-30,586,3105,598,1941,2147,1633,3971,58,58,71
2019-10-31,651,3339,1431,2269,1785,2009,1848,63,65,74
2019-11-30,187,4942,1234,2419,1041,3341,4489,59,66,73
2019-12-31,274,4191,623,2696,1565,2398,2806,78,66,67
2020-01-31,700,3827,1094,1728,1768,2629,2086,79,63,60
2020-02-29,949,1430,1239,2331,1502,1401,3344,68,73,71
2020-03-31,777,4154,1672,2969,1812,3746,2506,71,65,73
2020-04-30,637,1091,709,2150,733,3728,4791,80,69,76
2020-05-31,945,2920,1062,1269,1345,3211,4367,73,71,71
2020-06-30,172,3446,1935,1325,932,1529,2239,65,84,71
2020-07-31,877,3659,1282,2663,1467,1409,2373,84,65,78
2020-08-31,215,2589,1565,2520,736,3865,2286,70,71,81
2020-09-30,855,3956,1582,1976,2492,3178,4945,84,78,76
2020-10-31,809,3681,1205,1391,2183,2240,2814,84,77,74
2020-11-30,947,1084,1560,2889,990,3354,1937,72,88,80
2020-12-31,531,3251,1278,1007,897,1364,3347,80,77,88
2021-01-31,548,1324,586,966,1594,1806,3032,72,76,78
2021-02-28,950,1774,1567,2959,1978,3876,2520,75,79,72
2021-03-31,199,4012,1372,1953,1804,2415,4334,76,83,81
2021-04-30,277,2071,511,2710,2170,2419,2441,89,87,75
2021-05-31,855,1639,1270,1016,836,2531,4403,90,74,92
2021-06-30,897,3036,807,824,889,1336,1949,90,83,89
2021-07-31,759,2155,1604,867,829,2152,4898,86,95,81
2021-08-31,247,1972,532,1807,909,2059,3014,90,83,81
2021-09-30,523,3916,1706,2540,2092,3115,4625,85,87,95
2021-10-31,388,2204,1652,2822,991,3998,2316,89,97,92
2021-11-30,365,3024,1306,1091,2100,2311,4666,85,81,97
2021-12-31,797,4918,775,2550,2071,1360,3607,89,80,81
2022-01-31,739,2167,1698,1822,868,3395,3884,96,100,93
2022-02-28,644,2684,1895,2880,1504,1784,3190,85,96,82
2022-03-31,643,4299,1708,2440,876,3703,3160,102,83,92
2022-04-30,814,4002,944,1962,2261,2311,1663,95,102,99
2022-05-31,344,3839,988,2518,1023,2817,2445,102,90,86
2022-06-30,251,3767,786,2245,1208,2344,2630,102,86,93
2022-07-31,775,3957,1804,1423,1503,3108,1701,96,98,105
2022-08-31,610,1373,1137,1570,1838,3963,4872,89,105,97
2022-09-30,559,2877,1270,2363,1753,1932,3305,89,101,104
2022-10-31,982,1560,594,2041,2477,2132,4437,100,98,90
2022-11-30,283,2329,1750,1621,2013,1481,3362,93,94,90
